"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Deadlift (Barbell)",,"",0,"warmup",20,8,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Deadlift (Barbell)",,"",1,"warmup",40,8,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Deadlift (Barbell)",,"",2,"warmup",60,5,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Deadlift (Barbell)",,"",3,"normal",100,6,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Deadlift (Barbell)",,"",4,"normal",110,6,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Deadlift (Barbell)",,"",5,"normal",110,6,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Deadlift (Barbell)",,"",6,"normal",120,5,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",45,8,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",50,8,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",55,8,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Seated Cable Row - V Grip (Cable)",,"",3,"normal",55,8,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",55,8,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",55,8,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",50,7,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Dumbbell Row",,"",0,"normal",30,6,,,
"Pull and Calves","7 Mar 2024, 17:47","7 Mar 2024, 18:49","","Dumbbell Row",,"",1,"normal",30,8,,,
