title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Bench Press (Barbell)","","","0","normal","50","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Bench Press (Barbell)","","","1","normal","50","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Bench Press (Barbell)","","","2","normal","50","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Bench Press (Barbell)","","","3","normal","50","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Incline Chest Press (Machine)","","","0","normal","30","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Incline Chest Press (Machine)","","","1","normal","30","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Incline Chest Press (Machine)","","","2","normal","30","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Incline Chest Press (Machine)","","","3","normal","30","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Bench Press (Dumbbell)","","","0","normal","32","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Bench Press (Dumbbell)","","","1","normal","32","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Bench Press (Dumbbell)","","","2","normal","32","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Bench Press (Dumbbell)","","","3","normal","32","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Chest Fly (Dumbbell)","","","0","normal","24","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Chest Fly (Dumbbell)","","","1","normal","24","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Chest Fly (Dumbbell)","","","2","normal","20","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Chest Fly (Dumbbell)","","","3","normal","20","10","","",""
"Chest, legs, biceps - lite","10 Oct 2020, 10:41","10 Oct 2020, 11:46","","Squat (Barbell)","","","0","normal","50","10","","",""
