Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bench Press (Barbell)",1,50.0,10,0,0,"","",
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bench Press (Barbell)",2,50.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bench Press (Barbell)",3,50.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bench Press (Barbell)",4,50.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Incline Chest Press (Machine)",1,30.0,10,0,0,"",,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Incline Chest Press (Machine)",2,30.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Incline Chest Press (Machine)",3,30.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Incline Chest Press (Machine)",4,30.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bench Press (Dumbbell)",1,32.0,10,0,0,"",,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bench Press (Dumbbell)",2,32.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bench Press (Dumbbell)",3,32.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bench Press (Dumbbell)",4,32.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Chest Fly (Dumbbell)",1,24.0,10,0,0,"",,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Chest Fly (Dumbbell)",2,24.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Chest Fly (Dumbbell)",3,20.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Chest Fly (Dumbbell)",4,20.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Squat (Barbell)",1,50.0,10,0,0,"",,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Squat (Barbell)",2,50.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Squat (Barbell)",3,50.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Squat (Barbell)",4,50.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Leg Extension (Machine)",1,20.0,10,0,0,"",,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Leg Extension (Machine)",2,20.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Leg Extension (Machine)",3,20.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Leg Extension (Machine)",4,20.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Lying Leg Curl (Machine)",1,25.0,10,0,0,"",,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Lying Leg Curl (Machine)",2,25.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Lying Leg Curl (Machine)",3,25.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Lying Leg Curl (Machine)",4,25.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bicep Curl (Barbell)",1,15.0,10,0,0,"",,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bicep Curl (Barbell)",2,15.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bicep Curl (Barbell)",3,15.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bicep Curl (Barbell)",4,15.0,10,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bicep Curl (Cable)",1,25.0,12,0,0,"",,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bicep Curl (Cable)",2,25.0,12,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bicep Curl (Cable)",3,25.0,12,0,0,,,
2020-10-10 10:41:22 AM,"Chest, legs, biceps - lite",1h 5m,"Bicep Curl (Cable)",4,25.0,12,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Bent Over Row (Barbell)",1,50.0,10,0,0,"","",
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Bent Over Row (Barbell)",2,65.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Bent Over Row (Barbell)",3,70.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Bent Over Row (Barbell)",4,70.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Lat Pulldown (Cable)",1,35.0,8,0,0,"",,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Lat Pulldown (Cable)",2,40.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Lat Pulldown (Cable)",3,40.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Lat Pulldown (Cable)",4,40.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Seated Wide-Grip Row (Cable)",1,50.0,8,0,0,"",,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Seated Wide-Grip Row (Cable)",2,50.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Seated Wide-Grip Row (Cable)",3,50.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Seated Wide-Grip Row (Cable)",4,50.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Lat pull down (crossover) ",1,80.0,12,0,0,"",,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Lat pull down (crossover) ",2,95.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Lat pull down (crossover) ",3,100.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Lat pull down (crossover) ",4,100.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Overhead Press (Barbell)",1,30.0,12,0,0,"",,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Overhead Press (Barbell)",2,50.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Overhead Press (Barbell)",3,50.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Overhead Press (Barbell)",4,35.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Reverse Fly (Dumbbell)",1,20.0,6,0,0,"",,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Reverse Fly (Dumbbell)",2,20.0,6,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Reverse Fly (Dumbbell)",3,12.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Reverse Fly (Dumbbell)",4,12.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Front Raise (Dumbbell)",1,20.0,8,0,0,"",,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Front Raise (Dumbbell)",2,20.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Front Raise (Dumbbell)",3,20.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Front Raise (Dumbbell)",4,20.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Triceps Extension (Dumbbell)",1,18.0,12,0,0,"",,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Triceps Extension (Dumbbell)",2,18.0,12,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Triceps Extension (Dumbbell)",3,18.0,12,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Triceps Extension (Dumbbell)",4,18.0,12,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Triceps Pushdown (Cable - Straight Bar)",1,20.0,16,0,0,"",,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Triceps Pushdown (Cable - Straight Bar)",2,25.0,10,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Triceps Pushdown (Cable - Straight Bar)",3,30.0,8,0,0,,,
2020-10-12 9:30:25 AM,"Back, shoulders, triceps - 1",1h 14m,"Triceps Pushdown (Cable - Straight Bar)",4,30.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Bench Press (Barbell)",1,20.0,20,0,0,"","",
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Bench Press (Barbell)",2,40.0,12,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Bench Press (Barbell)",3,60.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Bench Press (Barbell)",4,60.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Bench Press (Barbell)",5,60.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Bench Press (Barbell)",6,70.0,1,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Incline Bench Press (Dumbbell)",1,32.0,12,0,0,"",,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Incline Bench Press (Dumbbell)",2,36.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Incline Bench Press (Dumbbell)",3,40.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Incline Bench Press (Dumbbell)",4,40.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Cable Crossover",1,40.0,8,0,0,"",,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Cable Crossover",2,50.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Cable Crossover",3,50.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Cable Crossover",4,50.0,8,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Triceps Extension (Dumbbell)",1,18.0,12,0,0,"",,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Triceps Extension (Dumbbell)",2,20.0,12,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Triceps Extension (Dumbbell)",3,20.0,12,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Triceps Pushdown (Cable - Straight Bar)",1,20.0,20,0,0,"",,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Triceps Pushdown (Cable - Straight Bar)",2,30.0,12,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Triceps Pushdown (Cable - Straight Bar)",3,30.0,10,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Cable Crunch",1,50.0,12,0,0,"",,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Cable Crunch",2,70.0,10,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Cable Crunch",3,70.0,10,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Russian Twist",1,0,20,0,0,"",,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Russian Twist",2,0,20,0,0,,,
2020-10-14 4:17:25 PM,"Chest, triceps",53m,"Russian Twist",3,0,20,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bent Over Row (Barbell)",1,20.0,20,0,0,"","",
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bent Over Row (Barbell)",2,50.0,10,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bent Over Row (Barbell)",3,70.0,8,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bent Over Row (Barbell)",4,70.0,8,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bent Over Row (Barbell)",5,75.0,8,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Lat Pulldown (Cable)",1,35.0,8,0,0,"",,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Lat Pulldown (Cable)",2,40.0,8,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Lat Pulldown (Cable)",3,45.0,6,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Lat Pulldown (Cable)",4,40.0,6,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Seated Wide-Grip Row (Cable)",1,50.0,8,0,0,"",,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Seated Wide-Grip Row (Cable)",2,50.0,8,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Seated Wide-Grip Row (Cable)",3,50.0,12,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bicep Curl (Barbell)",1,10.0,10,0,0,"",,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bicep Curl (Barbell)",2,20.0,8,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bicep Curl (Barbell)",3,20.0,8,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bicep Curl (Barbell)",4,10.0,10,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bicep Curl (Dumbbell)",1,12.0,10,0,0,"",,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bicep Curl (Dumbbell)",2,12.0,10,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Bicep Curl (Dumbbell)",3,12.0,12,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Knee Raise (Captain's Chair)",1,0,10,0,0,"",,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Knee Raise (Captain's Chair)",2,0,10,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Knee Raise (Captain's Chair)",3,0,10,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Russian Twist",1,0,20,0,0,"",,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Russian Twist",2,0,20,0,0,,,
2020-10-16 5:41:44 PM,"Back, biceps",51m,"Russian Twist",3,0,20,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Leg Press",1,50.0,18,0,0,"","",
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Leg Press",2,70.0,16,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Leg Press",3,100.0,12,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Leg Press",4,115.0,12,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Leg Press",5,115.0,12,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Squat (Barbell)",1,20.0,12,0,0,"",,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Squat (Barbell)",2,50.0,12,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Squat (Barbell)",3,60.0,10,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Squat (Barbell)",4,70.0,10,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Squat (Barbell)",5,70.0,10,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Leg Extension (Machine)",1,25.0,10,0,0,"",,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Leg Extension (Machine)",2,25.0,10,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Seated Calf Raise (Plate Loaded)",1,50.0,12,0,0,"",,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Seated Calf Raise (Plate Loaded)",2,50.0,12,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Seated Calf Raise (Plate Loaded)",3,50.0,12,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Shoulder Press (Machine)",1,15.0,12,0,0,"",,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Shoulder Press (Machine)",2,20.0,12,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Shoulder Press (Machine)",3,25.0,12,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Shoulder Press (Machine)",4,25.0,12,0,0,,,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Front Raise (Dumbbell)",1,20.0,10,0,0,"",,
2020-10-20 5:04:41 PM,"Legs, quadriceps",53m,"Front Raise (Dumbbell)",2,20.0,10,0,0,,,
